2025-03-17T10:52:48.447+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2025-03-17T10:52:48.448+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2025-03-17T10:52:48.448+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2025-03-17T10:52:48.448+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Application is null : false
2025-03-17T10:52:48.448+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2025-03-17T10:52:48.449+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2025-03-17T10:52:48.451+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2025-03-17T10:52:48.514+01:00  INFO 6264 --- [microservice-scrap-consum] [DiscoveryClient-CacheRefreshExecutor-%d] com.netflix.discovery.DiscoveryClient    : The response status is 200
2025-03-17T10:52:52.024+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-17T10:52:52.024+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-03-17T10:52:52.027+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2025-03-17T10:52:52.067+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T10:52:52.785+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T10:52:52.827+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T10:52:54.030+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T10:52:54.032+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T10:53:09.181+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 17 SEGUNDOS.
2025-03-17T10:53:09.181+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-1] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T10:54:18.250+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T10:54:18.271+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T10:54:18.282+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T10:54:19.035+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T10:54:19.035+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T10:54:42.823+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 24 SEGUNDOS.
2025-03-17T10:54:42.823+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-3] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T10:56:06.228+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T10:56:06.261+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T10:56:06.274+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T10:56:06.936+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T10:56:06.936+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T10:56:25.790+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 19 SEGUNDOS.
2025-03-17T10:56:25.790+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-5] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T10:57:17.739+01:00  INFO 6264 --- [microservice-scrap-consum] [AsyncResolver-bootstrap-executor-%d] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2025-03-17T10:57:18.465+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T10:57:18.482+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T10:57:18.491+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T10:57:19.167+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T10:57:19.167+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T10:57:33.307+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 14 SEGUNDOS.
2025-03-17T10:57:33.308+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-6] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T10:59:25.581+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T10:59:25.595+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T10:59:25.602+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T10:59:26.309+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
2025-03-17T10:59:26.309+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] o.o.selenium.chromium.ChromiumDriver     : Unable to find version of CDP to use for 134.0.6998.89. You may need to include a dependency on a specific version of the CDP using something similar to `org.seleniumhq.selenium:selenium-devtools-v86:4.25.0` where the version ("v86") matches the version of the chromium-based browser you're using and the version number of the artifact is the same as Selenium's.
2025-03-17T10:59:40.213+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> TIEMPO TRANSCURRIDO: 14 SEGUNDOS.
2025-03-17T10:59:40.214+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-8] c.a.scrap.service.impl.ScrapServiceImpl  : ----------> FIN DE BUSCAR PRODUCTOS
2025-03-17T11:00:12.171+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] c.a.scrap.controller.ScrapController     : ---------> BUSCANDO PRODUCTOS - REST CONTROLLER (microservice-scrap-consum)
2025-03-17T11:00:12.184+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] i.g.bonigarcia.wdm.WebDriverManager      : Using chromedriver 134.0.6998.88 (resolved driver for Chrome 134)
2025-03-17T11:00:12.192+01:00  INFO 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] i.g.bonigarcia.wdm.WebDriverManager      : Exporting webdriver.chrome.driver as C:\Users\Andres\.cache\selenium\chromedriver\win64\134.0.6998.88\chromedriver.exe
2025-03-17T11:00:12.829+01:00  WARN 6264 --- [microservice-scrap-consum] [http-nio-auto-1-exec-9] o.o.selenium.devtools.CdpVersionFinder   : Unable to find CDP implementation matching 134
